%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1505402118934639124,8968,1505402118934438785,world,0.376706719398,0.844547092915,0.473375588655,-0.0177038367838,-0.998483479023,-0.0309035666287,0.0419806241989
1505402118934644995,8969,1505402118934483001,world,0.376701205969,0.844495415688,0.473363399506,-0.0177610311657,-0.998483538628,-0.0308825653046,0.0419703125954
1505402118944968550,8970,1505402118944809607,world,0.376700311899,0.844526052475,0.473396122456,-0.0177397076041,-0.998483598232,-0.0308744329959,0.0419815741479
1505402118955197909,8971,1505402118955058025,world,0.376698583364,0.84454536438,0.473382472992,-0.0177508890629,-0.998484730721,-0.0308455359191,0.041972771287
1505402118964411600,8972,1505402118964278222,world,0.376708656549,0.844488203526,0.473337620497,-0.0177457071841,-0.998483419418,-0.0308765675873,0.0419838130474
1505402118974652978,8973,1505402118974507244,world,0.376720696688,0.844516277313,0.473386406898,-0.0177030712366,-0.998484432697,-0.0308911707252,0.041965007782
1505402118995081712,8974,1505402118994903303,world,0.376694560051,0.844540059566,0.47336679697,-0.0177671946585,-0.998483836651,-0.0308513231575,0.0419819205999
1505402118995086947,8975,1505402118994963196,world,0.37670442462,0.844537436962,0.473389357328,-0.0177654866129,-0.998484790325,-0.0308251492679,0.0419803038239
1505402119004510662,8976,1505402119004345561,world,0.376707524061,0.844513356686,0.4733928442,-0.0177427921444,-0.998485088348,-0.030850507319,0.0419644191861
1505402119014837012,8977,1505402119014666056,world,0.376722514629,0.844460248947,0.473339766264,-0.0177511256188,-0.998483002186,-0.0308839455247,0.0419848188758
1505402119025022857,8978,1505402119024876533,world,0.376713782549,0.844551503658,0.473382771015,-0.0177480969578,-0.998484075069,-0.0308633577079,0.0419766046107
1505402119034346365,8979,1505402119034081600,world,0.376706898212,0.844565808773,0.473412245512,-0.0177367851138,-0.998484790325,-0.0308504197747,0.0419737733901
1505402119054621104,8980,1505402119054441894,world,0.376721024513,0.844465136528,0.47336179018,-0.0177695825696,-0.998483777046,-0.0308626815677,0.0419739894569
1505402119054625887,8981,1505402119054501951,world,0.37671366334,0.844522356987,0.473393082619,-0.0177421495318,-0.998484432697,-0.0308680441231,0.0419675894082
1505402119064990742,8982,1505402119064847161,world,0.376708179712,0.844512701035,0.473373889923,-0.0177513286471,-0.998484253883,-0.03086761944,0.0419662967324
1505402119084470119,8983,1505402119084272848,world,0.376713901758,0.844517707825,0.473380446434,-0.0177343506366,-0.998483896255,-0.030886201188,0.0419700928032
1505402119084475997,8984,1505402119084296900,world,0.376715302467,0.844553053379,0.473400145769,-0.0177179165184,-0.99848395586,-0.0308973025531,0.0419678092003
1505402119094634999,8985,1505402119094483961,world,0.376719623804,0.844475030899,0.473366171122,-0.0177562255412,-0.998483300209,-0.0308832842857,0.0419773310423
1505402119115110675,8986,1505402119114942026,world,0.376704663038,0.844533860683,0.473391979933,-0.0177464727312,-0.998484492302,-0.0308624655008,0.0419688001275
1505402119115123980,8987,1505402119114968065,world,0.376705259085,0.844533324242,0.473399966955,-0.017766289413,-0.998485147953,-0.0308313127607,0.0419679395854
1505402119124362852,8988,1505402119124201367,world,0.376708567142,0.844491899014,0.473373442888,-0.0177783593535,-0.998483240604,-0.0308625269681,0.0419840030372
1505402119144866853,8989,1505402119144660943,world,0.376718878746,0.844543516636,0.473398953676,-0.017724391073,-0.998484730721,-0.0308834072202,0.0419555827975
1505402119144882594,8990,1505402119144688382,world,0.376715421677,0.844516634941,0.47339168191,-0.0177535042167,-0.998484373093,-0.0308748930693,0.0419576838613
1505402119155070113,8991,1505402119154958051,world,0.376709491014,0.844537377357,0.473409831524,-0.0177516099066,-0.998485147953,-0.0308568179607,0.041955024004
1505402119174556408,8992,1505402119174312004,world,0.376713484526,0.844527840614,0.47338873148,-0.0177226755768,-0.998483896255,-0.0308941788971,0.0419691987336
1505402119174565506,8993,1505402119174338866,world,0.376709908247,0.844485163689,0.473388940096,-0.0177475940436,-0.998484075069,-0.0308936145157,0.0419534631073
1505402119184771315,8994,1505402119184593493,world,0.376710742712,0.844537615776,0.473395556211,-0.0177455935627,-0.998484253883,-0.0308646485209,0.0419733412564
1505402119205143089,8995,1505402119204976659,world,0.37670648098,0.844561338425,0.473395377398,-0.0177573263645,-0.998484611511,-0.0308503564447,0.0419684015214
1505402119205147623,8996,1505402119205012511,world,0.376716017723,0.844497382641,0.473393678665,-0.0177487935871,-0.998483538628,-0.0308828819543,0.0419748537242
1505402119214393195,8997,1505402119214248568,world,0.376710385084,0.844494462013,0.473381787539,-0.0177387911826,-0.998484194279,-0.0308797173202,0.0419664047658
1505402119234954152,8998,1505402119234723164,world,0.376699239016,0.844525516033,0.473378300667,-0.0177514068782,-0.998484969139,-0.0308361835778,0.0419730842113
1505402119234963240,8999,1505402119234746032,world,0.37670648098,0.844534516335,0.473393768072,-0.0177697762847,-0.998484075069,-0.0308489575982,0.0419764705002
1505402119245122585,9000,1505402119244950983,world,0.376706570387,0.844510376453,0.473363310099,-0.0177375152707,-0.998484253883,-0.0308676287532,0.0419732816517
1505402119264572941,9001,1505402119264408713,world,0.376712739468,0.844503998756,0.473343789577,-0.0177330374718,-0.99848395586,-0.0308790076524,0.0419739708304
1505402119264588007,9002,1505402119264443288,world,0.376710414886,0.844528019428,0.47338950634,-0.0177372712642,-0.998484790325,-0.0308588817716,0.0419687069952
