%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1505402118934656595,0,1505402118934456852,world,0.452690005302,0.0470136851072,0.51480358839,0.000246948067797,-0.996722996235,0.00200046342798,0.080865085125
1505402118934660071,1,1505402118934492792,world,0.452882319689,0.0470377169549,0.517108738422,-0.000306713511236,-0.996721506119,0.0019387381617,0.080885745585
1505402118944981104,2,1505402118944826847,world,0.452993482351,0.0473167300224,0.519364237785,-0.000343321065884,-0.996690869331,0.00152122392319,0.0812712013721
1505402118955205002,3,1505402118955081548,world,0.453202962875,0.0470105521381,0.521657347679,-0.000315293931635,-0.99669533968,0.0035882408265,0.0811498314142
1505402118964418009,4,1505402118964296767,world,0.453349709511,0.0468239858747,0.524110615253,0.00041902900557,-0.996616005898,0.00295120012015,0.0821442976594
1505402118974659308,5,1505402118974521083,world,0.45352062583,0.0470580607653,0.526335477829,0.00023958789825,-0.996641218662,0.00265312800184,0.0818483009934
1505402118995093740,6,1505402118994922535,world,0.453782975674,0.0469335801899,0.528835892677,0.000597219972406,-0.996642529964,0.00285009643994,0.0818241685629
1505402118995097989,7,1505402118994974884,world,0.454059541225,0.0469697713852,0.531023919582,-0.000104772334453,-0.996684491634,0.00349488249049,0.0812884047627
1505402119004511052,8,1505402119004364784,world,0.454317778349,0.0469586625695,0.533430337906,-0.000640916056,-0.99671036005,0.00321547593921,0.080979578197
1505402119014844651,9,1505402119014678548,world,0.454589158297,0.0467214733362,0.53581148386,-0.000119306976558,-0.996708273888,0.00294107012451,0.0810179635882
1505402119025037486,10,1505402119024895209,world,0.454795002937,0.0469924733043,0.538201987743,0.000199640649953,-0.996752083302,0.00255543156527,0.0804909169674
1505402119034350158,11,1505402119034094661,world,0.454962700605,0.0470857471228,0.540788531303,0.000731436070055,-0.996676266193,0.00224397378042,0.0814294964075
1505402119054634886,12,1505402119054456307,world,0.455259919167,0.0469521433115,0.543120503426,0.00013062756625,-0.996695280075,0.00177163875196,0.0812113806605
1505402119054641102,13,1505402119054547686,world,0.455570101738,0.0468302704394,0.545674800873,-6.48050918244e-05,-0.996735334396,0.00226702145301,0.0807065963745
1505402119064996962,14,1505402119064864771,world,0.455803155899,0.046940099448,0.547973036766,5.46290211787e-05,-0.996778845787,0.0016678320244,0.0801826119423
1505402119084471636,15,1505402119084289465,world,0.455925554037,0.0467181690037,0.550449073315,0.00042849133024,-0.996778309345,0.00296818232164,0.0801498815417
1505402119084480861,16,1505402119084301685,world,0.456094413996,0.0469732917845,0.552805185318,0.000155365691171,-0.996755123138,0.0020344692748,0.0804674625397
1505402119094640209,17,1505402119094500388,world,0.456385850906,0.0468955524266,0.555253326893,-3.59032710548e-05,-0.996739804745,0.00137484364677,0.0806713923812
1505402119115128419,18,1505402119114958613,world,0.456471979618,0.0471153184772,0.557783186436,0.000734097964596,-0.996678054333,0.000297381047858,0.0814388468862
1505402119115137065,19,1505402119114974846,world,0.456821382046,0.0468938499689,0.560085356236,0.000383559527108,-0.996783792973,0.00144232716411,0.080123372376
1505402119124366980,20,1505402119124225812,world,0.456966459751,0.0467524193227,0.562582671642,0.000397263793275,-0.996757626534,0.00103475153446,0.080454595387
1505402119144891641,21,1505402119144678045,world,0.457248747349,0.047061894089,0.5647392869,-0.000232457343373,-0.996802866459,0.000308794929879,0.0798994079232
1505402119144906115,22,1505402119144694572,world,0.457403093576,0.0469929948449,0.567122340202,0.000219239402213,-0.996780335903,0.000407090235967,0.0801796391606
1505402119155075974,23,1505402119154995057,world,0.457551121712,0.0471032708883,0.569662094116,0.000232008707826,-0.996734380722,0.000127618535771,0.0807500556111
1505402119174652546,24,1505402119174329188,world,0.457758903503,0.0468596555293,0.571881055832,0.0002337784681,-0.996776521206,0.00166068237741,0.0802108198404
1505402119174658080,25,1505402119174375560,world,0.45809930563,0.0467346869409,0.574202299118,0.00030547825736,-0.996799409389,0.0015109492233,0.0799280628562
1505402119184786304,26,1505402119184612827,world,0.458393067122,0.0468134656549,0.576558828354,0.000170488594449,-0.996832787991,0.000800055160653,0.0795227140188
1505402119205152536,27,1505402119204992394,world,0.458485037088,0.0470555908978,0.578696548939,0.000206612414331,-0.996829330921,0.000200801281608,0.0795691758394
1505402119205156340,28,1505402119205021692,world,0.458677709103,0.0471296980977,0.581016600132,0.000164707569638,-0.996809601784,-0.000905075052287,0.0798110738397
1505402119214398596,29,1505402119214264826,world,0.458895802498,0.0468979179859,0.583142995834,0.000287010363536,-0.996857702732,0.000357733981218,0.0792117789388
1505402119234979342,30,1505402119234738932,world,0.459078282118,0.0469830818474,0.585416197777,0.000217405759031,-0.996840536594,-0.000375100207748,0.0794282481074
1505402119235000930,31,1505402119234750944,world,0.459426611662,0.0470024086535,0.587659358978,-0.000166993690073,-0.996864438057,-0.0004583093978,0.0791269168258
1505402119245133238,32,1505402119244966777,world,0.459565788507,0.0467654913664,0.589784920216,-0.000106624756882,-0.996850788593,0.00101316114888,0.0792934969068
1505402119264577348,33,1505402119264426616,world,0.459722369909,0.0465789996088,0.591862976551,0.000107779203972,-0.99682956934,0.0018919208087,0.0795428529382
1505402119264584738,34,1505402119264450945,world,0.45992860198,0.0465155802667,0.594053804874,2.06019249163e-05,-0.996830701828,0.00246999692172,0.0795134603977
1505402119274853096,35,1505402119274661298,world,0.460039198399,0.0465172752738,0.596146583557,-0.00022217395599,-0.996819257736,0.0032419373747,0.0796289592981
