%time,field.header.seq,field.header.stamp,field.header.frame_id,field.batteryPercent,field.state,field.magX,field.magY,field.magZ,field.pressure,field.temp,field.wind_speed,field.wind_angle,field.wind_comp_angle,field.rotX,field.rotY,field.rotZ,field.altd,field.vx,field.vy,field.vz,field.ax,field.ay,field.az,field.motor1,field.motor2,field.motor3,field.motor4,field.tags_count,field.tags_type0,field.tags_xc0,field.tags_yc0,field.tags_width0,field.tags_height0,field.tags_orientation0,field.tags_distance0,field.tm
1505402119012594238,16897,1505402119012404114,ardrone_base_link,71.0,0,-12,-12,-16,98898,486,0.0,0.0,0.0,-0.252000004053,-2.58699989319,-129.845001221,0,0.0,-0.0,-0.0,0.0183386988938,0.0116245476529,0.947332501411,0,0,0,0,1,131072,375,545,62,83,267.938842773,213.0,1449480192.0
1505402119017646816,16898,1505402119017433710,ardrone_base_link,71.0,0,-12,-12,-16,98895,486,0.0,0.0,0.0,-0.250999987125,-2.58699989319,-129.843994141,0,0.0,-0.0,-0.0,0.0131789594889,0.0116085251793,0.947407245636,0,0,0,0,1,131072,375,545,62,83,267.938842773,213.0,1449485184.0
1505402119024647436,16899,1505402119024447665,ardrone_base_link,71.0,0,-3,-13,-19,98902,486,0.0,0.0,0.0,-0.250999987125,-2.58699989319,-129.843994141,0,0.0,-0.0,-0.0,0.0155516033992,0.0116149736568,0.947365701199,0,0,0,0,1,131072,375,545,62,83,267.938842773,213.0,1449490176.0
1505402119031896142,16900,1505402119031738721,ardrone_base_link,71.0,0,-3,-13,-19,98902,486,0.0,0.0,0.0,-0.25,-2.58599996567,-129.843002319,0,0.0,-0.0,-0.0,0.0139719117433,0.0115924421698,0.94739061594,0,0,0,0,1,131072,375,545,62,83,267.938842773,213.0,1449495168.0
1505402119034629606,16901,1505402119034267778,ardrone_base_link,71.0,0,-5,-13,-19,98892,486,0.0,0.0,0.0,-0.25,-2.58599996567,-129.841995239,0,0.0,-0.0,-0.0,0.0167754609138,0.0115796783939,0.947389662266,0,0,0,0,1,131072,365,545,62,83,267.366027832,213.0,1449500416.0
1505402119037635298,16902,1505402119037405309,ardrone_base_link,71.0,0,-5,-13,-19,98892,486,0.0,0.0,0.0,-0.25,-2.58599996567,-129.841003418,0,0.0,-0.0,-0.0,0.0164853259921,0.0115445554256,0.947365701199,0,0,0,0,1,131072,365,545,62,83,267.366027832,213.0,1449505280.0
1505402119043594571,16903,1505402119043254621,ardrone_base_link,71.0,0,-11,-11,-19,98895,486,0.0,0.0,0.0,-0.25,-2.58599996567,-129.841003418,0,0.0,-0.0,-0.0,0.0134247979149,0.0114998435602,0.947377920151,0,0,0,0,1,131072,365,545,62,83,267.366027832,213.0,1449510528.0
1505402119047641715,16904,1505402119047466691,ardrone_base_link,71.0,0,-11,-11,-19,98902,486,0.0,0.0,0.0,-0.25,-2.58599996567,-129.841003418,0,0.0,-0.0,-0.0,0.015452506952,0.0114969518036,0.947372078896,0,0,0,0,1,131072,365,545,62,83,267.366027832,213.0,1449515392.0
1505402119052805356,16905,1505402119052613101,ardrone_base_link,71.0,0,-7,-11,-23,98902,486,0.0,0.0,0.0,-0.25,-2.58599996567,-129.839996338,0,0.0,-0.0,-0.0,0.0149539010599,0.0115122357383,0.947382330894,0,0,0,0,1,131072,365,545,62,83,267.366027832,213.0,1449520384.0
1505402119058020365,16906,1505402119057839774,ardrone_base_link,71.0,0,-7,-11,-23,98895,486,0.0,0.0,0.0,-0.25,-2.58599996567,-129.839996338,0,0.0,-0.0,-0.0,0.0197624694556,0.011580908671,0.947411119938,0,0,0,0,1,131072,365,545,62,83,267.366027832,213.0,1449525504.0
1505402119062864280,16907,1505402119062578669,ardrone_base_link,71.0,0,-9,-15,-21,98898,486,0.0,0.0,0.0,-0.25,-2.58699989319,-129.839996338,0,0.0,-0.0,-0.0,0.0204273685813,0.0116396760568,0.947407245636,0,0,0,0,1,131072,365,545,62,83,267.366027832,213.0,1449530368.0
1505402119067869364,16908,1505402119067554270,ardrone_base_link,71.0,0,-9,-15,-21,98905,486,0.0,0.0,0.0,-0.25,-2.58699989319,-129.839004517,0,0.0,-0.0,-0.0,0.0198187232018,0.0116799632087,0.947414040565,0,0,0,0,1,131072,365,545,62,83,267.366027832,213.0,1449535360.0
1505402119074776472,16909,1505402119074499495,ardrone_base_link,71.0,0,-7,-13,-15,98898,486,0.0,0.0,0.0,-0.25,-2.58699989319,-129.839004517,0,0.0,-0.0,-0.0,0.0189819056541,0.0116920331493,0.947400867939,0,0,0,0,1,131072,356,545,62,83,268.037719727,213.0,1449540480.0
1505402119077894245,16910,1505402119077610099,ardrone_base_link,71.0,0,-7,-13,-15,98898,486,0.0,0.0,0.0,-0.25,-2.58800005913,-129.839004517,0,0.0,-0.0,-0.0,0.0177859906107,0.0116788791493,0.947396993637,0,0,0,0,1,131072,356,545,62,83,268.037719727,213.0,1449545472.0
1505402119084453161,16911,1505402119084056278,ardrone_base_link,71.0,0,-6,-10,-20,98895,486,0.0,0.0,0.0,-0.25,-2.58800005913,-129.837997437,0,0.0,-0.0,-0.0,0.0187165476382,0.0116665707901,0.947403788567,0,0,0,0,1,131072,356,545,62,83,268.037719727,213.0,1449550720.0
1505402119090464719,16912,1505402119090248718,ardrone_base_link,71.0,0,-6,-10,-20,98895,486,0.0,0.0,0.0,-0.25,-2.58899998665,-129.837997437,0,0.0,-0.0,-0.0,0.0193697996438,0.011656886898,0.947404325008,0,0,0,0,1,131072,356,545,62,83,268.037719727,213.0,1449555712.0
1505402119095756878,16913,1505402119095411051,ardrone_base_link,71.0,0,-8,-12,-18,98908,486,0.0,0.0,0.0,-0.25,-2.58899998665,-129.837005615,0,0.0,-0.0,-0.0,0.0190602261573,0.0116500537843,0.94740575552,0,0,0,0,1,131072,356,545,62,83,268.037719727,213.0,1449560704.0
1505402119097982240,16914,1505402119097729649,ardrone_base_link,71.0,0,-8,-12,-18,98908,486,0.0,0.0,0.0,-0.25,-2.58899998665,-129.835998535,0,0.0,-0.0,-0.0,0.0191773865372,0.0116470037028,0.947404325008,0,0,0,0,1,131072,356,545,62,83,268.037719727,213.0,1449565568.0
1505402119103062496,16915,1505402119102843953,ardrone_base_link,71.0,0,-4,-8,-20,98898,486,0.0,0.0,0.0,-0.25,-2.58999991417,-129.835006714,0,0.0,-0.0,-0.0,0.0186683423817,0.0116358371451,0.947401344776,0,0,0,0,1,131072,356,545,62,83,268.037719727,213.0,1449570560.0
1505402119108578532,16916,1505402119108364637,ardrone_base_link,71.0,0,-4,-8,-20,98895,486,0.0,0.0,0.0,-0.248999997973,-2.58999991417,-129.835006714,0,0.0,-0.0,-0.0,0.0188691429794,0.0116199357435,0.947403788567,0,0,0,0,1,131072,343,545,62,83,267.903015137,213.0,1449575680.0
1505402119113132365,16917,1505402119112915338,ardrone_base_link,71.0,0,-9,-11,-21,98898,486,0.0,0.0,0.0,-0.248999997973,-2.58999991417,-129.833999634,0,0.0,-0.0,-0.0,0.0190276671201,0.0115972347558,0.947403311729,0,0,0,0,1,131072,343,545,62,83,267.903015137,213.0,1449580800.0
1505402119121204756,16918,1505402119121022531,ardrone_base_link,71.0,0,-9,-11,-21,98902,486,0.0,0.0,0.0,-0.247999995947,-2.58999991417,-129.833999634,0,0.0,-0.0,-0.0,0.0189380999655,0.0115691097453,0.947404325008,0,0,0,0,1,131072,343,545,62,83,267.903015137,213.0,1449585664.0
1505402119127351199,16919,1505402119127132265,ardrone_base_link,71.0,0,-2,-12,-20,98902,486,0.0,0.0,0.0,-0.247999995947,-2.59100008011,-129.833999634,0,0.0,-0.0,-0.0,0.0190449282527,0.011539125815,0.947403788567,0,0,0,0,1,131072,343,545,62,83,267.903015137,213.0,1449591040.0
1505402119128439673,16920,1505402119128119929,ardrone_base_link,71.0,0,-2,-12,-20,98898,486,0.0,0.0,0.0,-0.247999995947,-2.59100008011,-129.832992554,0,0.0,-0.0,-0.0,0.0188858378679,0.0115069355816,0.947403311729,0,0,0,0,1,131072,343,545,62,83,267.903015137,213.0,1449595904.0
1505402119133305838,16921,1505402119133084452,ardrone_base_link,71.0,0,-9,-13,-21,98898,486,0.0,0.0,0.0,-0.247999995947,-2.59200000763,-129.832992554,0,0.0,-0.0,-0.0,0.0189426019788,0.0114802485332,0.947403311729,0,0,0,0,1,131072,343,545,62,83,267.903015137,213.0,1449600896.0
1505402119138760023,16922,1505402119138543945,ardrone_base_link,71.0,0,-9,-13,-21,98898,486,0.0,0.0,0.0,-0.247999995947,-2.59299993515,-129.832000732,0,0.0,-0.0,-0.0,0.0189925171435,0.0114679653198,0.947403788567,0,0,0,0,1,131072,334,541,59,79,267.589477539,224.0,1449605888.0
1505402119143229184,16923,1505402119142977259,ardrone_base_link,71.0,0,-3,-15,-21,98905,486,0.0,0.0,0.0,-0.247999995947,-2.59299993515,-129.832000732,0,0.0,-0.0,-0.0,0.0189465153962,0.0114806750789,0.947403311729,0,0,0,0,1,131072,334,541,59,79,267.589477539,224.0,1449610752.0
1505402119148196746,16924,1505402119148016526,ardrone_base_link,71.0,0,-3,-15,-21,98908,486,0.0,0.0,0.0,-0.247999995947,-2.59299993515,-129.830993652,0,0.0,-0.0,-0.0,0.0189745724201,0.0115240458399,0.947403788567,0,0,0,0,1,131072,334,541,59,79,267.589477539,224.0,1449615872.0
1505402119153661150,16925,1505402119153484308,ardrone_base_link,71.0,0,-9,-15,-17,98902,486,0.0,0.0,0.0,-0.248999997973,-2.59400010109,-129.830993652,0,0.0,-0.0,-0.0,0.0188945457339,0.0100593389943,0.947411596775,0,0,0,0,1,131072,334,541,59,79,267.589477539,224.0,1449620992.0
1505402119158224041,16926,1505402119158068771,ardrone_base_link,71.0,0,-9,-15,-17,98895,486,0.0,0.0,0.0,-0.248999997973,-2.59400010109,-129.830001831,0,0.0,-0.0,-0.0,0.0188928265125,0.00825506169349,0.947419941425,0,0,0,0,1,131072,334,541,59,79,267.589477539,224.0,1449625856.0
1505402119163687036,16927,1505402119163299588,ardrone_base_link,71.0,0,-8,-18,-22,98895,486,0.0,0.0,0.0,-0.25,-2.59400010109,-129.830001831,0,0.0,-0.0,-0.0,0.0189132839441,0.00636606663465,0.947429716587,0,0,0,0,1,131072,334,541,59,79,267.589477539,224.0,1449631104.0
1505402119168484713,16928,1505402119168265976,ardrone_base_link,71.0,0,-8,-18,-22,98902,486,0.0,0.0,0.0,-0.250999987125,-2.59500002861,-129.828994751,0,0.0,-0.0,-0.0,0.0189199000597,0.00509743764997,0.947436988354,0,0,0,0,1,131072,334,541,59,79,267.589477539,224.0,1449636096.0
1505402119176155097,16929,1505402119175948947,ardrone_base_link,71.0,0,-3,-9,-17,98902,486,0.0,0.0,0.0,-0.250999987125,-2.59500002861,-129.82800293,0,0.0,-0.0,-0.0,0.0189624689519,0.00767625682056,0.947422862053,0,0,0,0,1,131072,325,545,62,83,268.060760498,213.0,1449641088.0
1505402119179142492,16930,1505402119178949201,ardrone_base_link,71.0,0,-3,-9,-17,98902,486,0.0,0.0,0.0,-0.252000004053,-2.59500002861,-129.82800293,0,0.0,-0.0,-0.0,0.0174077283591,0.00836390536278,0.947410166264,0,0,0,0,1,131072,325,545,62,83,268.060760498,213.0,1449646080.0
1505402119186883382,16931,1505402119186574922,ardrone_base_link,71.0,0,-7,-17,-25,98898,486,0.0,0.0,0.0,-0.250999987125,-2.59500002861,-129.82699585,0,0.0,-0.0,-0.0,0.015505336225,0.0119967237115,0.947376966476,0,0,0,0,1,131072,325,545,62,83,268.060760498,213.0,1449651072.0
1505402119188538071,16932,1505402119188342961,ardrone_base_link,71.0,0,-7,-17,-25,98898,486,0.0,0.0,0.0,-0.250999987125,-2.59400010109,-129.82699585,0,0.0,-0.0,-0.0,0.0119745638222,0.011695493944,0.9473554492,0,0,0,0,1,131072,325,545,62,83,268.060760498,213.0,1449656192.0
1505402119198799353,16933,1505402119198589369,ardrone_base_link,71.0,0,-7,-13,-27,98902,486,0.0,0.0,0.0,-0.250999987125,-2.59299993515,-129.826004028,0,0.0,-0.0,-0.0,0.0102878687903,0.011764629744,0.947342276573,0,0,0,0,1,131072,325,545,62,83,268.060760498,213.0,1449661056.0
1505402119202305877,16934,1505402119202049609,ardrone_base_link,71.0,0,-7,-13,-27,98902,486,0.0,0.0,0.0,-0.250999987125,-2.59200000763,-129.826004028,0,0.0,-0.0,-0.0,0.00972398370504,0.0121423276141,0.947336912155,0,0,0,0,1,131072,325,545,62,83,268.060760498,213.0,1449666048.0
1505402119204007515,16935,1505402119203780881,ardrone_base_link,71.0,0,-5,-11,-21,98902,486,0.0,0.0,0.0,-0.250999987125,-2.59100008011,-129.824996948,0,0.0,-0.0,-0.0,0.0104052256793,0.0103557007387,0.947349607944,0,0,0,0,1,131072,312,545,62,83,267.922088623,213.0,1449671296.0
1505402119209901124,16936,1505402119209677142,ardrone_base_link,71.0,0,-5,-11,-21,98898,486,0.0,0.0,0.0,-0.250999987125,-2.58999991417,-129.824996948,0,0.0,-0.0,-0.0,0.0117242634296,0.0122919371352,0.947350084782,0,0,0,0,1,131072,312,545,62,83,267.922088623,213.0,1449676288.0
1505402119213691078,16937,1505402119213485080,ardrone_base_link,71.0,0,-7,-11,-21,98895,486,0.0,0.0,0.0,-0.250999987125,-2.58899998665,-129.824005127,0,0.0,-0.0,-0.0,0.0110815716907,0.0107693048194,0.947352528572,0,0,0,0,1,131072,312,545,62,83,267.922088623,213.0,1449681280.0
1505402119226894620,16938,1505402119226639352,ardrone_base_link,71.0,0,-9,-11,-25,98908,486,0.0,0.0,0.0,-0.250999987125,-2.58800005913,-129.822998047,0,0.0,-0.0,-0.0,0.0104322526604,0.0117167150602,0.949217796326,0,0,0,0,1,131072,312,545,62,83,267.922088623,213.0,1449691264.0
1505402119232350587,16939,1505402119232033138,ardrone_base_link,71.0,0,-9,-11,-25,98908,486,0.0,0.0,0.0,-0.25,-2.58699989319,-129.822006226,0,0.0,-0.0,-0.0,0.0123601388186,0.0113297244534,0.950835466385,0,0,0,0,1,131072,312,545,62,83,267.922088623,213.0,1449696256.0
1505402119233997587,16940,1505402119233762102,ardrone_base_link,71.0,0,-9,-13,-19,98908,486,0.0,0.0,0.0,-0.25,-2.58599996567,-129.820999146,0,0.0,-0.0,-0.0,0.0145007185638,0.0119695002213,0.950546383858,0,0,0,0,1,131072,312,545,62,83,267.922088623,213.0,1449701504.0
1505402119242421173,16941,1505402119242153244,ardrone_base_link,71.0,0,-9,-13,-19,98905,486,0.0,0.0,0.0,-0.248999997973,-2.58599996567,-129.820999146,0,0.0,-0.0,-0.0,0.0179087854922,0.0114362966269,0.951354980469,0,0,0,0,1,131072,303,545,62,83,267.32800293,213.0,1449706240.0
1505402119244222992,16942,1505402119243905283,ardrone_base_link,71.0,0,-6,-14,-16,98892,486,0.0,0.0,0.0,-0.248999997973,-2.58599996567,-129.820007324,0,0.0,-0.0,-0.0,0.0197534151375,0.0118087586015,0.952079594135,0,0,0,0,1,131072,303,545,62,83,267.32800293,213.0,1449711744.0
1505402119250078549,16943,1505402119249761131,ardrone_base_link,71.0,0,-6,-14,-16,98889,486,0.0,0.0,0.0,-0.248999997973,-2.58599996567,-129.820007324,0,0.0,-0.0,-0.0,0.0200701709837,0.0117175308987,0.95122218132,0,0,0,0,1,131072,303,545,62,83,267.32800293,213.0,1449716864.0
1505402119254193529,16944,1505402119253995443,ardrone_base_link,71.0,0,-4,-12,-18,98895,486,0.0,0.0,0.0,-0.248999997973,-2.58599996567,-129.820007324,0,0.0,-0.0,-0.0,0.0194966308773,0.0114769591019,0.950238287449,0,0,0,0,1,131072,303,545,62,83,267.32800293,213.0,1449721728.0
1505402119262612310,16945,1505402119262196783,ardrone_base_link,71.0,0,-4,-12,-18,98898,486,0.0,0.0,0.0,-0.248999997973,-2.58599996567,-129.819000244,0,0.0,-0.0,-0.0,0.0182776264846,0.0116343414411,0.94706004858,0,0,0,0,1,131072,303,545,62,83,267.32800293,213.0,1449726592.0
1505402119264770707,16946,1505402119264606496,ardrone_base_link,71.0,0,-3,-11,-17,98892,486,0.0,0.0,0.0,-0.248999997973,-2.58599996567,-129.819000244,0,0.0,-0.0,-0.0,0.0189013425261,0.0113967154175,0.946251451969,0,0,0,0,1,131072,303,545,62,83,267.32800293,213.0,1449731456.0
1505402119268969620,16947,1505402119268786256,ardrone_base_link,71.0,0,-3,-11,-17,98889,486,0.0,0.0,0.0,-0.248999997973,-2.58699989319,-129.819000244,0,0.0,-0.0,-0.0,0.0187866445631,0.0115417204797,0.946348130703,0,0,0,0,1,131072,293,545,62,83,267.916015625,213.0,1449736576.0
1505402119274812963,16948,1505402119274567973,ardrone_base_link,71.0,0,-5,-19,-21,98892,486,0.0,0.0,0.0,-0.248999997973,-2.58699989319,-129.817993164,0,0.0,-0.0,-0.0,0.019533554092,0.0116001628339,0.947587907314,0,0,0,0,1,131072,293,545,62,83,267.916015625,213.0,1449741568.0
1505402119279162699,16949,1505402119278908935,ardrone_base_link,71.0,0,-5,-19,-21,98898,486,0.0,0.0,0.0,-0.248999997973,-2.58699989319,-129.817001343,0,0.0,-0.0,-0.0,0.0191300939769,0.0115873496979,0.948155283928,0,0,0,0,1,131072,293,545,62,83,267.916015625,213.0,1449746560.0
1505402119284547645,16950,1505402119284258933,ardrone_base_link,71.0,0,-7,-17,-21,98898,486,0.0,0.0,0.0,-0.248999997973,-2.58800005913,-129.817001343,0,0.0,-0.0,-0.0,0.018848054111,0.0117014916614,0.946178197861,0,0,0,0,1,131072,293,545,62,83,267.916015625,213.0,1449751808.0
1505402119293016443,16951,1505402119292804646,ardrone_base_link,71.0,0,-7,-17,-21,98898,486,0.0,0.0,0.0,-0.247999995947,-2.58800005913,-129.815994263,0,0.0,-0.0,-0.0,0.0188895110041,0.0116158090532,0.943663060665,0,0,0,0,1,131072,293,545,62,83,267.916015625,213.0,1449756800.0
1505402119294147162,16952,1505402119293876471,ardrone_base_link,71.0,0,-10,-16,-24,98902,486,0.0,0.0,0.0,-0.247999995947,-2.58800005913,-129.815994263,0,0.0,-0.0,-0.0,0.0187143031508,0.0116122672334,0.940341770649,0,0,0,0,1,131072,293,545,62,83,267.916015625,213.0,1449761664.0
1505402119304744344,16953,1505402119304374322,ardrone_base_link,71.0,0,-10,-16,-24,98895,486,0.0,0.0,0.0,-0.24699999392,-2.58800005913,-129.815002441,0,0.0,-0.0,-0.0,0.0189330335706,0.0115894656628,0.940314948559,0,0,0,0,1,131072,293,545,62,83,267.916015625,213.0,1449766656.0
1505402119316428440,16954,1505402119316049613,ardrone_base_link,71.0,0,-11,-13,-21,98902,486,0.0,0.0,0.0,-0.24699999392,-2.58899998665,-129.815002441,0,0.0,-0.0,-0.0,0.01885997504,0.0115305995569,0.941894054413,0,0,0,0,1,131072,284,545,62,83,267.764556885,213.0,1449771648.0
1505402119316431964,16955,1505402119316078991,ardrone_base_link,71.0,0,-11,-13,-21,98905,486,0.0,0.0,0.0,-0.24699999392,-2.58899998665,-129.813995361,0,0.0,-0.0,-0.0,0.0188228096813,0.0115683516487,0.945987284184,0,0,0,0,1,131072,284,545,62,83,267.764556885,213.0,1449776640.0
1505402119316437260,16956,1505402119316093157,ardrone_base_link,71.0,0,-5,-13,-23,98902,486,0.0,0.0,0.0,-0.24699999392,-2.58899998665,-129.81300354,0,0.0,-0.0,-0.0,0.0189038589597,0.0115294670686,0.948781251907,0,0,0,0,1,131072,284,545,62,83,267.764556885,213.0,1449781888.0
1505402119319069012,16957,1505402119318729822,ardrone_base_link,71.0,0,-5,-13,-23,98905,486,0.0,0.0,0.0,-0.24699999392,-2.58999991417,-129.81300354,0,0.0,-0.0,-0.0,0.0188745632768,0.00998710189015,0.948737323284,0,0,0,0,1,131072,284,545,62,83,267.764556885,213.0,1449786752.0
1505402119324356738,16958,1505402119324096771,ardrone_base_link,71.0,0,-7,-13,-19,98902,486,0.0,0.0,0.0,-0.247999995947,-2.58999991417,-129.81300354,0,0.0,-0.0,-0.0,0.0189885348082,0.00811458285898,0.948265135288,0,0,0,0,1,131072,284,545,62,83,267.764556885,213.0,1449791872.0
1505402119331305781,16959,1505402119331159731,ardrone_base_link,71.0,0,-7,-13,-19,98902,486,0.0,0.0,0.0,-0.247999995947,-2.58999991417,-129.81199646,0,0.0,-0.0,-0.0,0.0189938358963,0.00615385500714,0.946209967136,0,0,0,0,1,131072,284,545,62,83,267.764556885,213.0,1449796992.0
