%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1505402118975962026,16889,1505402118975771116,ardrone_base_link,-0.0213739441131,-0.007563931994,-0.905542616423,0.42364904259,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,0.00120789557695,0.000284876674414,0.000520632835105,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.185842363164,0.113754447177,9.28524172306,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1505402118977525838,16890,1505402118977335896,ardrone_base_link,-0.0213738776371,-0.00756411983735,-0.905538893174,0.423657000881,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,0.000460240989923,0.000332315452397,0.000740957038943,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.185436687991,0.113793729618,9.28557175398,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1505402118983775530,16891,1505402118983378735,ardrone_base_link,-0.0213738121667,-0.00756430483403,-0.905535226269,0.42366483856,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,6.42500817776e-05,-0.000493135303259,0.00132095324807,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.170017617941,0.113628212176,9.28288711309,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1505402118987810332,16892,1505402118987537506,ardrone_base_link,-0.0213737456874,-0.00756449267622,-0.90553150288,0.423672796787,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.000252481549978,-8.86404886842e-05,0.000852329656482,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.166541815549,0.11349334307,9.28254773617,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1505402118992577359,16893,1505402118992382772,ardrone_base_link,-0.0213736792065,-0.00756468051783,-0.905527779422,0.423680754981,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.000442314893007,-0.000436908565462,0.00127424066886,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.150542818382,0.113371899724,9.28583986759,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1505402118997278322,16894,1505402118997162245,ardrone_base_link,-0.0213699819372,-0.00757258264483,-0.905527713374,0.423680941483,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,0.000418443232775,-0.000362205319107,0.000267665833235,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.168900897726,0.113427692838,9.28436086178,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1505402119003288828,16895,1505402119002960651,ardrone_base_link,-0.0213778176494,-0.00757646550994,-0.905523876015,0.423688678217,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,5.78723847866e-05,-0.000244199298322,-1.65994279087e-05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.179798909277,0.113603313826,9.28506940603,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1505402119009606880,16896,1505402119009422857,ardrone_base_link,-0.0213778176494,-0.00757646550994,-0.905523876015,0.423688678217,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,0.00058988109231,-0.000345324195223,-0.000406069448218,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.17688594833,0.113755679317,9.28430361748,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1505402119012579594,16897,1505402119012404114,ardrone_base_link,-0.0213778176494,-0.00757646550994,-0.905523876015,0.423688678217,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,0.000307217240334,0.000189609825611,-0.00130344624631,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.179719249159,0.113920566998,9.28385851383,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1505402119017614025,16898,1505402119017433710,ardrone_base_link,-0.0213740535453,-0.00758455568329,-0.905520086263,0.423696822887,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,0.00113310664892,-0.000197656452656,-0.000365050858818,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.129153802991,0.113763546757,9.28459100723,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
