%time,field.header.seq,field.header.stamp,field.header.frame_id,field.vector.x,field.vector.y,field.vector.z
1505402119186882210,16931,1505402119186574922,ardrone_base_link,-0.225571841002,-0.547817349434,-0.80561375618
1505402119188524628,16932,1505402119188342961,ardrone_base_link,-0.225571841002,-0.547817349434,-0.80561375618
1505402119198795371,16933,1505402119198589369,ardrone_base_link,-0.227469429374,-0.422443240881,-0.877382099628
1505402119202319813,16934,1505402119202049609,ardrone_base_link,-0.227469429374,-0.422443240881,-0.877382099628
1505402119204003476,16935,1505402119203780881,ardrone_base_link,-0.206372082233,-0.454018592834,-0.866762757301
1505402119209896783,16936,1505402119209677142,ardrone_base_link,-0.206372082233,-0.454018592834,-0.866762757301
1505402119213651285,16937,1505402119213485080,ardrone_base_link,-0.283189684153,-0.445012360811,-0.84956908226
1505402119226889748,16938,1505402119226639352,ardrone_base_link,-0.312960654497,-0.38250747323,-0.869335174561
1505402119232283636,16939,1505402119232033138,ardrone_base_link,-0.312960654497,-0.38250747323,-0.869335174561
1505402119234000667,16940,1505402119233762102,ardrone_base_link,-0.364101022482,-0.525923728943,-0.768657743931
1505402119242415682,16941,1505402119242153244,ardrone_base_link,-0.364101022482,-0.525923728943,-0.768657743931
1505402119244218974,16942,1505402119243905283,ardrone_base_link,-0.271607249975,-0.633750259876,-0.724286019802
1505402119250075091,16943,1505402119249761131,ardrone_base_link,-0.271607249975,-0.633750259876,-0.724286019802
1505402119254148466,16944,1505402119253995443,ardrone_base_link,-0.181818187237,-0.54545456171,-0.818181812763
1505402119262607597,16945,1505402119262196783,ardrone_base_link,-0.181818187237,-0.54545456171,-0.818181812763
1505402119264771348,16946,1505402119264606496,ardrone_base_link,-0.146559581161,-0.537385165691,-0.83050429821
1505402119268971230,16947,1505402119268786256,ardrone_base_link,-0.146559581161,-0.537385165691,-0.83050429821
1505402119274810343,16948,1505402119274567973,ardrone_base_link,-0.173867031932,-0.660694718361,-0.730241537094
1505402119279071153,16949,1505402119278908935,ardrone_base_link,-0.173867031932,-0.660694718361,-0.730241537094
1505402119284496930,16950,1505402119284258933,ardrone_base_link,-0.250801026821,-0.609088182449,-0.752403080463
1505402119293012337,16951,1505402119292804646,ardrone_base_link,-0.250801026821,-0.609088182449,-0.752403080463
1505402119294061583,16952,1505402119293876471,ardrone_base_link,-0.327560901642,-0.524097442627,-0.78614616394
1505402119304739226,16953,1505402119304374322,ardrone_base_link,-0.327560901642,-0.524097442627,-0.78614616394
1505402119316406800,16954,1505402119316049613,ardrone_base_link,-0.406849682331,-0.480822354555,-0.776713073254
1505402119316410856,16955,1505402119316078991,ardrone_base_link,-0.406849682331,-0.480822354555,-0.776713073254
1505402119316418715,16956,1505402119316093157,ardrone_base_link,-0.185952007771,-0.483475208282,-0.855379223824
1505402119319064844,16957,1505402119318729822,ardrone_base_link,-0.185952007771,-0.483475208282,-0.855379223824
1505402119324351909,16958,1505402119324096771,ardrone_base_link,-0.290910094976,-0.540261566639,-0.789613068104
1505402119331300370,16959,1505402119331159731,ardrone_base_link,-0.290910094976,-0.540261566639,-0.789613068104
1505402119335409115,16960,1505402119335280627,ardrone_base_link,-0.155230104923,-0.698535442352,-0.698535442352
1505402119345224606,16961,1505402119344730098,ardrone_base_link,-0.155230104923,-0.698535442352,-0.698535442352
1505402119345377813,16962,1505402119344784757,ardrone_base_link,-0.279751449823,-0.46625238657,-0.839254319668
1505402119349420623,16963,1505402119349235268,ardrone_base_link,-0.279751449823,-0.46625238657,-0.839254319668
1505402119357412502,16964,1505402119357230188,ardrone_base_link,-0.298142403364,-0.596284806728,-0.745356023312
1505402119359353431,16965,1505402119359201788,ardrone_base_link,-0.298142403364,-0.596284806728,-0.745356023312
1505402119364729214,16966,1505402119364441577,ardrone_base_link,-0.333333343267,-0.666666686535,-0.666666686535
1505402119369546642,16967,1505402119369354745,ardrone_base_link,-0.333333343267,-0.666666686535,-0.666666686535
