%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1505429686807334790,0.242137387395,0.0,0.0,0.0,0.0,0.0
1505429686817311352,0.241823345423,0.0,0.0,0.0,0.0,0.0
1505429686827336531,0.241503238678,0.0,0.0,0.0,0.0,0.0
1505429686837446090,0.241177111864,0.0,0.0,0.0,0.0,0.0
1505429686847366652,0.24084495008,0.0,0.0,0.0,0.0,0.0
1505429686857354113,0.240506768227,0.0,0.0,0.0,0.0,0.0
1505429686867356278,0.240162566304,0.0,0.0,0.0,0.0,0.0
1505429686877386200,0.239812359214,0.0,0.0,0.0,0.0,0.0
1505429686887331218,0.239456161857,0.0,0.0,0.0,0.0,0.0
1505429686897336503,0.239093989134,0.0,0.0,0.0,0.0,0.0
1505429686907303817,0.238725826144,0.0,0.0,0.0,0.0,0.0
1505429686917580021,0.238351687789,0.0,0.0,0.0,0.0,0.0
1505429686927371221,0.23797160387,0.0,0.0,0.0,0.0,0.0
1505429686937381258,0.237585574389,0.0,0.0,0.0,0.0,0.0
1505429686947333033,0.237193584442,0.0,0.0,0.0,0.0,0.0
1505429686957299510,0.236795678735,0.0,0.0,0.0,0.0,0.0
1505429686967410481,0.236391857266,0.0,0.0,0.0,0.0,0.0
1505429686977362369,0.235982120037,0.0,0.0,0.0,0.0,0.0
1505429686987299101,0.235566481948,0.0,0.0,0.0,0.0,0.0
1505429686997427026,0.2351449579,0.0,0.0,0.0,0.0,0.0
1505429687007353295,0.234717562795,0.0,0.0,0.0,0.0,0.0
1505429687017447233,0.234284281731,0.0,0.0,0.0,0.0,0.0
1505429687027299344,0.233845159411,0.0,0.0,0.0,0.0,0.0
1505429687037406978,0.233400180936,0.0,0.0,0.0,0.0,0.0
1505429687047329494,0.232949376106,0.0,0.0,0.0,0.0,0.0
1505429687057426315,0.232492744923,0.0,0.0,0.0,0.0,0.0
1505429687067342301,0.232030302286,0.0,0.0,0.0,0.0,0.0
1505429687077386559,0.231562048197,0.0,0.0,0.0,0.0,0.0
1505429687087411701,0.231088012457,0.0,0.0,0.0,0.0,0.0
1505429687097396040,0.230608209968,0.0,0.0,0.0,0.0,0.0
1505429687107461719,0.230122625828,0.0,0.0,0.0,0.0,0.0
1505429687117370743,0.22963128984,0.0,0.0,0.0,0.0,0.0
1505429687127331477,0.229134231806,0.0,0.0,0.0,0.0,0.0
1505429687137355445,0.228631421924,0.0,0.0,0.0,0.0,0.0
1505429687147349095,0.228122904897,0.0,0.0,0.0,0.0,0.0
1505429687157809649,0.227608695626,0.0,0.0,0.0,0.0,0.0
1505429687167472394,0.227088779211,0.0,0.0,0.0,0.0,0.0
1505429687177411611,0.226563200355,0.0,0.0,0.0,0.0,0.0
1505429687187440864,0.226031944156,0.0,0.0,0.0,0.0,0.0
1505429687197320729,0.225495040417,0.0,0.0,0.0,0.0,0.0
1505429687207347427,0.224952504039,0.0,0.0,0.0,0.0,0.0
1505429687217375098,0.224404349923,0.0,0.0,0.0,0.0,0.0
1505429687227384647,0.22385057807,0.0,0.0,0.0,0.0,0.0
1505429687237387419,0.22329120338,0.0,0.0,0.0,0.0,0.0
1505429687247399143,0.222726255655,0.0,0.0,0.0,0.0,0.0
1505429687257439763,0.222155734897,0.0,0.0,0.0,0.0,0.0
1505429687267332331,0.221579656005,0.0,0.0,0.0,0.0,0.0
1505429687277375253,0.220998048782,0.0,0.0,0.0,0.0,0.0
1505429687287513881,0.220410913229,0.0,0.0,0.0,0.0,0.0
1505429687297376002,0.219818264246,0.0,0.0,0.0,0.0,0.0
1505429687307373472,0.219220116735,0.0,0.0,0.0,0.0,0.0
1505429687317386978,0.218616500497,0.0,0.0,0.0,0.0,0.0
1505429687327354996,0.218007415533,0.0,0.0,0.0,0.0,0.0
1505429687337357585,0.217392876744,0.0,0.0,0.0,0.0,0.0
1505429687347335894,0.216772899032,0.0,0.0,0.0,0.0,0.0
1505429687357561336,0.216147512197,0.0,0.0,0.0,0.0,0.0
1505429687367399122,0.215516701341,0.0,0.0,0.0,0.0,0.0
1505429687377318044,0.214880526066,0.0,0.0,0.0,0.0,0.0
1505429687387357371,0.214238971472,0.0,0.0,0.0,0.0,0.0
1505429687397323229,0.21359205246,0.0,0.0,0.0,0.0,0.0
1505429687407392661,0.212939798832,0.0,0.0,0.0,0.0,0.0
1505429687417328362,0.21228222549,0.0,0.0,0.0,0.0,0.0
1505429687427349707,0.211619347334,0.0,0.0,0.0,0.0,0.0
1505429687437338760,0.210951164365,0.0,0.0,0.0,0.0,0.0
1505429687447364322,0.210277721286,0.0,0.0,0.0,0.0,0.0
1505429687457395560,0.209599018097,0.0,0.0,0.0,0.0,0.0
1505429687467377874,0.208915069699,0.0,0.0,0.0,0.0,0.0
1505429687477395942,0.208225905895,0.0,0.0,0.0,0.0,0.0
1505429687487392662,0.207531541586,0.0,0.0,0.0,0.0,0.0
1505429687497389447,0.206831976771,0.0,0.0,0.0,0.0,0.0
1505429687507352557,0.206127241254,0.0,0.0,0.0,0.0,0.0
1505429687517375996,0.205417364836,0.0,0.0,0.0,0.0,0.0
1505429687527335134,0.204702332616,0.0,0.0,0.0,0.0,0.0
1505429687537375648,0.203982204199,0.0,0.0,0.0,0.0,0.0
1505429687547379736,0.203256964684,0.0,0.0,0.0,0.0,0.0
1505429687557321202,0.202526643872,0.0,0.0,0.0,0.0,0.0
1505429687567357084,0.201791256666,0.0,0.0,0.0,0.0,0.0
1505429687577359686,0.201050832868,0.0,0.0,0.0,0.0,0.0
1505429687587344105,0.200305387378,0.0,0.0,0.0,0.0,0.0
1505429687597317768,0.199554920197,0.0,0.0,0.0,0.0,0.0
1505429687607334895,0.198799476027,0.0,0.0,0.0,0.0,0.0
1505429687617404544,0.198039054871,0.0,0.0,0.0,0.0,0.0
1505429687627350500,0.197273686528,0.0,0.0,0.0,0.0,0.0
1505429687637316518,0.196503385901,0.0,0.0,0.0,0.0,0.0
1505429687647362597,0.195728167892,0.0,0.0,0.0,0.0,0.0
1505429687657347343,0.194948062301,0.0,0.0,0.0,0.0,0.0
1505429687667330871,0.19416308403,0.0,0.0,0.0,0.0,0.0
1505429687677331341,0.193373247981,0.0,0.0,0.0,0.0,0.0
1505429687687334722,0.192578569055,0.0,0.0,0.0,0.0,0.0
1505429687697358356,0.191779091954,0.0,0.0,0.0,0.0,0.0
1505429687707383508,0.19097481668,0.0,0.0,0.0,0.0,0.0
1505429687717336158,0.190165758133,0.0,0.0,0.0,0.0,0.0
1505429687727345554,0.189351946115,0.0,0.0,0.0,0.0,0.0
1505429687737425044,0.18853341043,0.0,0.0,0.0,0.0,0.0
1505429687747363130,0.187710151076,0.0,0.0,0.0,0.0,0.0
