%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1503103875428578795,109989,1503103875428461800,world,-0.15539175272,-0.033458519727,0.542308807373,-0.00155195803382,-0.0107686379924,0.00146660406608,0.999939680099
1503103875437808053,109990,1503103875437683883,world,-0.155378997326,-0.0334228910506,0.542316675186,-0.001611966989,-0.01070069056,0.00152617727872,0.999940276146
1503103875448048313,109991,1503103875447937812,world,-0.155353888869,-0.0333914160728,0.542334854603,-0.00147697969805,-0.010738408193,0.00154800910968,0.999939978123
1503103875458332076,109992,1503103875458198184,world,-0.155365288258,-0.0334317795932,0.542292416096,-0.00148715241812,-0.0107768401504,0.00165951158851,0.999939382076
1503103875468689749,109993,1503103875468547972,world,-0.155383095145,-0.0334415473044,0.54231095314,-0.00153390225023,-0.01076042559,0.00155068200547,0.999939680099
1503103875488346730,109994,1503103875488189135,world,-0.155384391546,-0.0334271155298,0.542372763157,-0.00132375629619,-0.0106881391257,0.00179601437412,0.999940335751
1503103875488352790,109995,1503103875488212540,world,-0.155366688967,-0.0334307178855,0.542298674583,-0.00132033182308,-0.0108272004873,0.00148868898395,0.999939382076
1503103875498584722,109996,1503103875498494436,world,-0.155375570059,-0.0334327109158,0.542312681675,-0.00131738756318,-0.0108315460384,0.00150997878518,0.999939262867
1503103875507986933,109997,1503103875507803701,world,-0.155381247401,-0.0334145501256,0.542330145836,-0.00142673659138,-0.0108261341229,0.00152469438035,0.999939203262
1503103875518193664,109998,1503103875518027411,world,-0.155390575528,-0.0334532633424,0.542320489883,-0.00156626175158,-0.0107222497463,0.00157560082152,0.999940037727
1503103875528352195,109999,1503103875528251657,world,-0.155359983444,-0.0334188938141,0.542302370071,-0.00148664973676,-0.0107193915173,0.00184724899009,0.999939739704
1503103875538656430,110000,1503103875538536602,world,-0.155385255814,-0.0334367193282,0.542329967022,-0.00156782020349,-0.0106784664094,0.00157817429863,0.999940514565
1503103875547929706,110001,1503103875547781091,world,-0.155377998948,-0.0334448814392,0.542322576046,-0.00158433034085,-0.0107022887096,0.00156064738985,0.999940216541
1503103875558205269,110002,1503103875558021176,world,-0.155373588204,-0.0334382727742,0.542311251163,-0.00140992889646,-0.0109611526132,0.0016506271204,0.999937593937
1503103875568498450,110003,1503103875568307694,world,-0.155379772186,-0.0334221869707,0.542321681976,-0.00155625795014,-0.0106934355572,0.00167282228358,0.999940156937
1503103875577613322,110004,1503103875577515421,world,-0.155362591147,-0.0334335118532,0.54228669405,-0.0015604760265,-0.0107544409111,0.00168724777177,0.999939501286
1503103875587919633,110005,1503103875587764515,world,-0.155392706394,-0.033424500376,0.542320787907,-0.00155928288586,-0.0107625955716,0.00152772269212,0.999939680099
1503103875598106468,110006,1503103875598009441,world,-0.155380576849,-0.0334467738867,0.542313218117,-0.00162750936579,-0.0107612302527,0.00160688266624,0.999939441681
1503103875608333212,110007,1503103875608195016,world,-0.155358448625,-0.0334106236696,0.542300581932,-0.00140445143916,-0.0108236493543,0.0015288752038,0.999939262867
1503103875618581235,110008,1503103875618460178,world,-0.155362337828,-0.0334070175886,0.542301237583,-0.00148921355139,-0.0107814837247,0.00158152333461,0.999939441681
1503103875627921577,110009,1503103875627779577,world,-0.155391871929,-0.0334620289505,0.542328834534,-0.00150147557724,-0.010756499134,0.00151812285185,0.999939858913
1503103875638131951,110010,1503103875638010401,world,-0.155389323831,-0.0334326960146,0.54231595993,-0.00156085379422,-0.0107668228447,0.00156767480075,0.99993956089
1503103875648303740,110011,1503103875648217189,world,-0.155375882983,-0.0334384217858,0.542307734489,-0.00156654138118,-0.0106759117916,0.0016470804112,0.999940395355
1503103875658626579,110012,1503103875658509530,world,-0.155393376946,-0.0334738194942,0.542330086231,-0.00164311833214,-0.0107372142375,0.00156575965229,0.999939739704
1503103875667839295,110013,1503103875667766453,world,-0.15536737442,-0.0333705358207,0.542312085629,-0.00174834672362,-0.010643305257,0.00196666968986,0.999939918518
1503103875678157571,110014,1503103875678010282,world,-0.155374646187,-0.0334265492857,0.542319655418,-0.00153060443699,-0.0106849800795,0.00168009696063,0.999940335751
1503103875688342329,110015,1503103875688237570,world,-0.15537302196,-0.0334534570575,0.542316973209,-0.00145264889579,-0.0107947224751,0.00164301076438,0.999939322472
1503103875698640494,110016,1503103875698506296,world,-0.155375406146,-0.0334108509123,0.542285561562,-0.00155896984506,-0.0107387723401,0.00164723966736,0.999939739704
1503103875707938344,110017,1503103875707810246,world,-0.155390426517,-0.0334237962961,0.54231274128,-0.00161932024639,-0.0107151167467,0.00161579682026,0.999939978123
1503103875718158702,110018,1503103875718040371,world,-0.155367702246,-0.033400118351,0.54230505228,-0.00138373253867,-0.0108041707426,0.00160392350517,0.999939382076
1503103875728347467,110019,1503103875728252165,world,-0.155370488763,-0.0334201455116,0.542275607586,-0.00141006754711,-0.0107360761613,0.00167453684844,0.999939978123
1503103875738569595,110020,1503103875738468030,world,-0.155382871628,-0.0334361754358,0.542332470417,-0.00166173721664,-0.010788875632,0.00151367601939,0.999939203262
1503103875747883051,110021,1503103875747733445,world,-0.155401825905,-0.0334657691419,0.542340695858,-0.00161756784655,-0.0106982309371,0.0016426735092,0.999940097332
1503103875758104979,110022,1503103875757997272,world,-0.155366510153,-0.0334331057966,0.542290866375,-0.00149032461923,-0.010786710307,0.00159886991605,0.999939382076
