%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1505356812455120295,0.0147597780451,0.0,0.0,0.0,0.0,0.0
1505356812465071506,0.0160074084997,0.0,0.0,0.0,0.0,0.0
1505356812475091394,0.0172546375543,0.0,0.0,0.0,0.0,0.0
1505356812485133835,0.0185014363378,0.0,0.0,0.0,0.0,0.0
1505356812495159987,0.0197477713227,0.0,0.0,0.0,0.0,0.0
1505356812505168734,0.0209936145693,0.0,0.0,0.0,0.0,0.0
1505356812515161198,0.0222389306873,0.0,0.0,0.0,0.0,0.0
1505356812525097114,0.0234836917371,0.0,0.0,0.0,0.0,0.0
1505356812535169616,0.0247278660536,0.0,0.0,0.0,0.0,0.0
1505356812545091118,0.0259714219719,0.0,0.0,0.0,0.0,0.0
1505356812555080613,0.0272143296897,0.0,0.0,0.0,0.0,0.0
1505356812565141336,0.0284565556794,0.0,0.0,0.0,0.0,0.0
1505356812575120250,0.0296980701387,0.0,0.0,0.0,0.0,0.0
1505356812585092812,0.0309388432652,0.0,0.0,0.0,0.0,0.0
1505356812595138405,0.0321788415313,0.0,0.0,0.0,0.0,0.0
1505356812605041370,0.0334180369973,0.0,0.0,0.0,0.0,0.0
1505356812615096689,0.034656394273,0.0,0.0,0.0,0.0,0.0
1505356812625364892,0.0358938872814,0.0,0.0,0.0,0.0,0.0
1505356812635139806,0.0371304824948,0.0,0.0,0.0,0.0,0.0
1505356812645180803,0.038366150111,0.0,0.0,0.0,0.0,0.0
1505356812655162369,0.0396008603275,0.0,0.0,0.0,0.0,0.0
1505356812665186206,0.0408345758915,0.0,0.0,0.0,0.0,0.0
1505356812675125802,0.0420672744513,0.0,0.0,0.0,0.0,0.0
1505356812685131475,0.0432989187539,0.0,0.0,0.0,0.0,0.0
1505356812695241153,0.0445294827223,0.0,0.0,0.0,0.0,0.0
1505356812705121823,0.0457589328289,0.0,0.0,0.0,0.0,0.0
1505356812715111460,0.0469872392714,0.0,0.0,0.0,0.0,0.0
1505356812725453111,0.0482143685222,0.0,0.0,0.0,0.0,0.0
1505356812735127107,0.0494402945042,0.0,0.0,0.0,0.0,0.0
1505356812745292652,0.0506649836898,0.0,0.0,0.0,0.0,0.0
1505356812755165246,0.0518884062767,0.0,0.0,0.0,0.0,0.0
1505356812765102272,0.0531105324626,0.0,0.0,0.0,0.0,0.0
1505356812775126300,0.0543313324451,0.0,0.0,0.0,0.0,0.0
1505356812785143862,0.0555507726967,0.0,0.0,0.0,0.0,0.0
1505356812795186736,0.056768823415,0.0,0.0,0.0,0.0,0.0
1505356812805146108,0.0579854547977,0.0,0.0,0.0,0.0,0.0
1505356812815114178,0.0592006370425,0.0,0.0,0.0,0.0,0.0
1505356812825056455,0.0604143366218,0.0,0.0,0.0,0.0,0.0
1505356812835092196,0.0616265311837,0.0,0.0,0.0,0.0,0.0
