%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1503174264451251011,0.0,-1.0,0.0,0.0,0.0,0.0
1503174264551019991,0.0,-1.0,0.0,0.0,0.0,0.0
1503174264651151485,0.0,-1.0,0.0,0.0,0.0,0.0
1503174265351111899,0.0,1.0,0.0,0.0,0.0,0.0
1503174265551191431,0.0,1.0,0.0,0.0,0.0,0.0
1503174265651064743,0.0,1.0,0.0,0.0,0.0,0.0
1503174265751378917,0.0,1.0,0.0,0.0,0.0,0.0
1503174266051206181,0.0,1.0,0.0,0.0,0.0,0.0
1503174266151286821,0.0,1.0,0.0,0.0,0.0,0.0
1503174266851002401,0.0,-1.0,0.0,0.0,0.0,0.0
1503174267651070247,0.0,1.0,0.0,0.0,0.0,0.0
1503174267751071944,0.0,1.0,0.0,0.0,0.0,0.0
1503174267851083291,0.0,1.0,0.0,0.0,0.0,0.0
1503174267951071661,0.0,1.0,0.0,0.0,0.0,0.0
1503174268251180048,0.0,1.0,0.0,0.0,0.0,0.0
1503174268351029638,0.0,1.0,0.0,0.0,0.0,0.0
1503174268851096820,1.0,0.0,0.0,0.0,0.0,0.0
1503174269151051357,0.0,-1.0,0.0,0.0,0.0,0.0
1503174269251291873,0.0,-1.0,0.0,0.0,0.0,0.0
1503174269351205570,0.0,-1.0,0.0,0.0,0.0,0.0
1503174269551203425,-1.0,0.0,0.0,0.0,0.0,0.0
1503174269951055028,0.0,1.0,0.0,0.0,0.0,0.0
1503174270251040604,1.0,0.0,0.0,0.0,0.0,0.0
1503174270351027528,1.0,0.0,0.0,0.0,0.0,0.0
1503174270551103246,0.0,-1.0,0.0,0.0,0.0,0.0
1503174270651089504,0.0,-1.0,0.0,0.0,0.0,0.0
1503174272766051698,0.0116897455851,0.0232334136963,0.190809234977,0.1,0.0,-0.261918008327
1503174272815624565,0.00350796508789,0.0288131205241,0.193989664316,0.1,0.0,-0.261499047279
1503174272857193324,0.000842623392741,0.030874768575,0.196939051151,0.1,0.0,-0.260954320431
1503174272873331034,-0.00528212229411,0.0342207819621,0.202651292086,0.1,0.0,-0.260527014732
1503174272925309504,-0.00807558441162,0.0363159484863,0.20243576169,0.1,0.0,-0.258457839489
1503174272986717009,-0.0132298520406,0.0405182596842,0.199462264776,0.1,0.0,-0.251186430454
1503174273001698015,-0.0154926961263,0.0418585383097,0.200153529644,0.1,0.0,-0.247946321964
1503174273095558671,-0.0179832127889,0.0430685475667,0.192036598921,0.1,0.0,-0.243713676929
1503174276251127086,-1.0,0.0,0.0,0.0,0.0,0.0
1503174276351164100,-1.0,0.0,0.0,0.0,0.0,0.0
1503174276551082980,0.0,1.0,0.0,0.0,0.0,0.0
1503174276651159997,0.0,1.0,0.0,0.0,0.0,0.0
