%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1505403118523299615,0.0409424342215,0.0,0.0,0.0,0.0,0.0
1505403118533369234,0.0410854257643,0.0,0.0,0.0,0.0,0.0
1505403118543283638,0.041227389127,0.0,0.0,0.0,0.0,0.0
1505403118553301821,0.0413683205843,0.0,0.0,0.0,0.0,0.0
1505403118563298360,0.0415082164109,0.0,0.0,0.0,0.0,0.0
1505403118573362259,0.0416470766068,0.0,0.0,0.0,0.0,0.0
1505403118583265145,0.0417848974466,0.0,0.0,0.0,0.0,0.0
1505403118593290375,0.0419216714799,0.0,0.0,0.0,0.0,0.0
1505403118603347137,0.0420573987067,0.0,0.0,0.0,0.0,0.0
1505403118613328944,0.0421920716763,0.0,0.0,0.0,0.0,0.0
1505403118623320862,0.042325694114,0.0,0.0,0.0,0.0,0.0
1505403118633431247,0.042458254844,0.0,0.0,0.0,0.0,0.0
1505403118643295853,0.0425897538662,0.0,0.0,0.0,0.0,0.0
1505403118653365554,0.0427201911807,0.0,0.0,0.0,0.0,0.0
1505403118663540811,0.0428495593369,0.0,0.0,0.0,0.0,0.0
1505403118673354632,0.0429778546095,0.0,0.0,0.0,0.0,0.0
1505403118683318877,0.0431050769985,0.0,0.0,0.0,0.0,0.0
1505403118693316273,0.0432312227786,0.0,0.0,0.0,0.0,0.0
1505403118703310386,0.0433562844992,0.0,0.0,0.0,0.0,0.0
1505403118713333208,0.0434802658856,0.0,0.0,0.0,0.0,0.0
1505403118723292822,0.0436031594872,0.0,0.0,0.0,0.0,0.0
1505403118733416133,0.0437249615788,0.0,0.0,0.0,0.0,0.0
1505403118743325861,0.0438456721604,0.0,0.0,0.0,0.0,0.0
1505403118753345015,0.0439652837813,0.0,0.0,0.0,0.0,0.0
1505403118763270169,0.0440838001668,0.0,0.0,0.0,0.0,0.0
1505403118773372663,0.0442012101412,0.0,0.0,0.0,0.0,0.0
1505403118783394092,0.0443175174296,0.0,0.0,0.0,0.0,0.0
1505403118793388474,0.0444327183068,0.0,0.0,0.0,0.0,0.0
1505403118803333598,0.0445468053222,0.0,0.0,0.0,0.0,0.0
1505403118813397723,0.0446597822011,0.0,0.0,0.0,0.0,0.0
1505403118823307737,0.0447716414928,0.0,0.0,0.0,0.0,0.0
1505403118833354218,0.0448823794723,0.0,0.0,0.0,0.0,0.0
1505403118843314841,0.0449919961393,0.0,0.0,0.0,0.0,0.0
1505403118853373437,0.0451004877687,0.0,0.0,0.0,0.0,0.0
1505403118863277553,0.0452078543603,0.0,0.0,0.0,0.0,0.0
1505403118873328612,0.0453140884638,0.0,0.0,0.0,0.0,0.0
1505403118883324430,0.045419190079,0.0,0.0,0.0,0.0,0.0
1505403118893876906,0.0455231554806,0.0,0.0,0.0,0.0,0.0
1505403118903337215,0.0456259846687,0.0,0.0,0.0,0.0,0.0
1505403118913327290,0.0457276701927,0.0,0.0,0.0,0.0,0.0
1505403118923314519,0.0458282157779,0.0,0.0,0.0,0.0,0.0
1505403118933371134,0.0459276139736,0.0,0.0,0.0,0.0,0.0
1505403118943285560,0.0460258647799,0.0,0.0,0.0,0.0,0.0
1505403118953391490,0.0461229644716,0.0,0.0,0.0,0.0,0.0
1505403118963299687,0.0462189093232,0.0,0.0,0.0,0.0,0.0
1505403118973304730,0.0463137030602,0.0,0.0,0.0,0.0,0.0
1505403118983325894,0.0464073345065,0.0,0.0,0.0,0.0,0.0
1505403118993901429,0.0464998073876,0.0,0.0,0.0,0.0,0.0
1505403119003324176,0.0465911179781,0.0,0.0,0.0,0.0,0.0
1505403119013336175,0.046681266278,0.0,0.0,0.0,0.0,0.0
1505403119023293299,0.0467702448368,0.0,0.0,0.0,0.0,0.0
1505403119033324431,0.0468580536544,0.0,0.0,0.0,0.0,0.0
1505403119043328510,0.0469446927309,0.0,0.0,0.0,0.0,0.0
1505403119053319445,0.0470301546156,0.0,0.0,0.0,0.0,0.0
1505403119063297388,0.0471144430339,0.0,0.0,0.0,0.0,0.0
1505403119073357837,0.0471975542605,0.0,0.0,0.0,0.0,0.0
1505403119083268089,0.0472794882953,0.0,0.0,0.0,0.0,0.0
1505403119093897347,0.0473602339625,0.0,0.0,0.0,0.0,0.0
1505403119103335152,0.047439802438,0.0,0.0,0.0,0.0,0.0
1505403119113285446,0.0475181788206,0.0,0.0,0.0,0.0,0.0
1505403119123326268,0.0475953705609,0.0,0.0,0.0,0.0,0.0
1505403119133389480,0.0476713702083,0.0,0.0,0.0,0.0,0.0
1505403119143319312,0.047746181488,0.0,0.0,0.0,0.0,0.0
1505403119158963156,0.0478197969496,0.0,0.0,0.0,0.0,0.0
1505403119163308686,0.047892216593,0.0,0.0,0.0,0.0,0.0
1505403119174715559,0.0479634404182,0.0,0.0,0.0,0.0,0.0
1505403119183314676,0.0480334647,0.0,0.0,0.0,0.0,0.0
1505403119193298736,0.048102285713,0.0,0.0,0.0,0.0,0.0
1505403119203343412,0.0481699071825,0.0,0.0,0.0,0.0,0.0
1505403119213289610,0.0482363253832,0.0,0.0,0.0,0.0,0.0
1505403119223300008,0.0483015328646,0.0,0.0,0.0,0.0,0.0
1505403119233313047,0.0483655370772,0.0,0.0,0.0,0.0,0.0
1505403119243321945,0.0484283305705,0.0,0.0,0.0,0.0,0.0
1505403119253356864,0.0484899133444,0.0,0.0,0.0,0.0,0.0
1505403119263312175,0.048550285399,0.0,0.0,0.0,0.0,0.0
1505403119273348524,0.0486094430089,0.0,0.0,0.0,0.0,0.0
1505403119283337911,0.0486673824489,0.0,0.0,0.0,0.0,0.0
1505403119293506329,0.0487241074443,0.0,0.0,0.0,0.0,0.0
1505403119303372192,0.0487796142697,0.0,0.0,0.0,0.0,0.0
1505403119313364705,0.0488339029253,0.0,0.0,0.0,0.0,0.0
1505403119323305796,0.0488869696856,0.0,0.0,0.0,0.0,0.0
1505403119333391142,0.0489388145506,0.0,0.0,0.0,0.0,0.0
1505403119343304309,0.0489894337952,0.0,0.0,0.0,0.0,0.0
1505403119353328774,0.0490388311446,0.0,0.0,0.0,0.0,0.0
1505403119363300231,0.0490870028734,0.0,0.0,0.0,0.0,0.0
1505403119373343482,0.0491339452565,0.0,0.0,0.0,0.0,0.0
1505403119383275070,0.0491796582937,0.0,0.0,0.0,0.0,0.0
1505403119394026973,0.0492241457105,0.0,0.0,0.0,0.0,0.0
1505403119403279125,0.0492674000561,0.0,0.0,0.0,0.0,0.0
1505403119413302293,0.0493094213307,0.0,0.0,0.0,0.0,0.0
1505403119423333711,0.0493502132595,0.0,0.0,0.0,0.0,0.0
1505403119433332471,0.0493897683918,0.0,0.0,0.0,0.0,0.0
1505403119443360318,0.0494280904531,0.0,0.0,0.0,0.0,0.0
1505403119453289215,0.0494651757181,0.0,0.0,0.0,0.0,0.0
1505403119463343122,0.0495010279119,0.0,0.0,0.0,0.0,0.0
1505403119474093348,0.0495356395841,0.0,0.0,0.0,0.0,0.0
